Scheepsnaam;Handling;Terminal;Port of discharge;Consignmentnr;Kind of package;Shipping Name;UNO;IMO;Flashpoint;Packaging Group;Equipment number;Stowage position;Quantity in container;Weight in container;Latitude;Longitude
ERASMUS 1;Discharge;Terminal 1;Rotterdam;31099422;CONTAINER;ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID, N.O.S.;3077;9;24.0;Minor danger;PBAU3761225;51584;10;12.300.000;51.951994;4.060357
ERASMUS 1;Loading;Terminal 1;Rotterdam;31099424;CONTAINER;FLAMMABLE LIQUID, N.O.S.;1993;3;24.0;Great danger;PBAU3216620;111682;10;20.300.000;51.956371;4.030374
ERASMUS 1;Discharge;Terminal 1;Rotterdam;31099426;CONTAINER;BROMOPROPANES;2344;3;24.0;Medium danger;PBAU5211702;251182;10;28.200.000;51.948868;4.058451
ERASMUS 1;Transit;Terminal 1;Hamburg;31209444;TANK,RECTANGULAR;DIPENTENE;2052;3;45.0;Minor danger;PBAU0701891;211082;1;20.420.000;51.952171;4.056963
ERASMUS 1;Transit;Terminal 1;Hamburg;31209405;BAGS,  WOVEN PLASTICS, WATER RESISTANT;AMINOPHENOLS;2512;6.1;;Minor danger;PBAU7948058;211184;600;15.180.000;51.948408;4.037840
ERASMUS 1;Loading;Terminal 1;Hong Kong;31205470;PACKAGE;TRIETHYLENETETRAMINE;2259;8;118.0;Medium danger;PBAU0369043;;18;18.314.000;51.951250;4.025750
ERASMUS 1;Loading;Terminal 1;Hong Kong;31205471;PACKAGE;TRIETHYLENETETRAMINE;2259;8;118.0;Medium danger;PBAU3637623;  ;18;18.314.000;51.951611;4.034993
ERASMUS 1;Discharge;Terminal 1;Rotterdam;6047773410;CARTON;PERFUMERY PRODUCTS;1266;3;13.0;Medium danger;PBAU8646405;181782;4168;25.881.000;51.950934;4.039511
ERASMUS 1;Discharge;Terminal 1;Rotterdam;6047773410;CARTON;PERFUMERY PRODUCTS;1266;3;13.0;Medium danger;PBAU8788992;181584;3742;19.935.000;51.953922;4.038243
ERASMUS 1;Loading;Terminal 1;Rotterdam;6047773410;CARTON;PERFUMERY PRODUCTS;1266;3;13.0;Medium danger;PBAU1309799;181382;5084;25.172.000;51.949471;4.071929
ERASMUS 1;Discharge;Terminal 1;Rotterdam;6047773410;CARTON;PERFUMERY PRODUCTS;1266;3;13.0;Medium danger;PBAU5243116;181384;3417;21.663.000;51.948602;4.058485
ERASMUS 1;Discharge;Terminal 1;Rotterdam;6047773410;CARTON;PERFUMERY PRODUCTS;1266;3;13.0;Medium danger;PBAU8450458;181582;4413;21.597.000;51.954167;4.042456
ERASMUS 1;Transit;Terminal 1;Hamburg;6047792350;PACKAGE;FLAMMABLE LIQUID, TOXIC, N.O.S.;1992;3;30.0;Medium danger;PBAU6330300;100284;16;20.912.000;51.946425;4.046942
